iter	Passed	Remaining
401	11299	16808
402	11322	16773
403	11345	16737
404	11373	16708
405	11393	16668
406	11415	16631
407	11438	16596
408	11460	16560
409	11483	16524
410	11506	16489
411	11528	16453
412	11552	16419
413	11585	16399
414	11623	16384
415	11655	16362
416	11693	16348
417	11739	16345
418	11785	16341
419	11815	16316
420	11846	16291
421	11871	16260
422	11892	16222
423	11916	16187
424	11939	16153
425	11958	16113
426	11982	16079
427	12007	16047
428	12032	16015
429	12058	15984
430	12081	15950
431	12106	15918
432	12130	15885
433	12156	15854
434	12184	15825
435	12204	15787
436	12237	15765
437	12256	15726
438	12280	15693
439	12301	15656
440	12324	15622
441	12346	15586
442	12368	15550
443	12389	15515
444	12411	15479
445	12433	15443
446	12456	15409
447	12485	15383
448	12506	15347
449	12529	15313
450	12547	15274
451	12569	15239
452	12590	15203
453	12614	15170
454	12635	15135
455	12658	15101
456	12681	15067
457	12706	15037
458	12727	15000
459	12747	14964
460	12771	14932
461	12793	14898
462	12813	14861
463	12833	14824
464	12854	14789
465	12877	14756
466	12907	14732
467	12933	14702
468	12964	14678
469	12991	14650
470	13013	14615
471	13034	14581
472	13055	14546
473	13079	14514
474	13103	14482
475	13128	14452
476	13152	14420
477	13175	14388
478	13196	14354
479	13222	14324
480	13245	14292
481	13270	14261
482	13290	14226
483	13314	14194
484	13335	14160
485	13356	14126
486	13378	14092
487	13397	14056
488	13419	14022
489	13440	13989
490	13461	13955
491	13483	13921
492	13503	13887
493	13526	13855
494	13548	13822
495	13570	13789
496	13588	13752
497	13607	13716
498	13628	13682
499	13647	13647
500	13669	13615
501	13691	13582
502	13713	13550
503	13740	13522
504	13762	13489
505	13789	13462
506	13815	13433
507	13850	13413
508	13898	13407
509	13953	13406
510	13989	13387
511	14027	13370
512	14053	13341
513	14074	13308
514	14098	13276
515	14118	13242
516	14140	13210
517	14161	13177
518	14189	13150
519	14213	13119
520	14233	13086
521	14254	13053
522	14277	13022
523	14300	12990
524	14322	12958
525	14347	12929
526	14374	12902
527	14406	12878
528	14435	12852
529	14467	12829
530	14497	12804
531	14521	12774
532	14546	12744
533	14568	12713
534	14593	12684
535	14615	12652
536	14635	12618
537	14657	12586
538	14682	12557
539	14707	12528
540	14729	12497
541	14749	12463
542	14769	12430
543	14792	12399
544	14820	12372
545	14846	12345
546	14873	12317
547	14894	12285
548	14916	12254
549	14934	12219
550	14954	12186
551	14978	12156
552	15002	12126
553	15026	12097
554	15047	12064
555	15065	12030
556	15091	12002
557	15115	11973
558	15144	11947
559	15177	11925
560	15207	11900
561	15251	11886
562	15289	11867
563	15323	11845
564	15348	11816
565	15370	11785
566	15393	11755
567	15413	11723
568	15440	11695
569	15462	11664
570	15489	11637
571	15510	11605
572	15529	11572
573	15549	11540
574	15569	11508
575	15591	11477
576	15617	11449
577	15640	11419
578	15663	11389
579	15688	11360
580	15709	11329
581	15731	11298
582	15752	11267
583	15775	11237
584	15798	11207
585	15822	11178
586	15845	11148
587	15867	11118
588	15891	11089
589	15913	11058
590	15936	11028
591	15957	10997
592	15979	10967
593	16004	10939
594	16024	10907
595	16048	10878
596	16079	10854
597	16102	10824
598	16128	10797
599	16156	10771
600	16186	10746
601	16208	10716
602	16244	10695
603	16273	10669
604	16312	10650
605	16351	10630
606	16387	10610
607	16418	10585
608	16442	10556
609	16467	10528
610	16492	10499
611	16512	10468
612	16532	10437
613	16553	10406
614	16573	10375
615	16615	10357
616	16720	10379
617	16771	10366
618	16795	10337
619	16826	10313
620	16856	10287
621	16881	10259
622	16907	10231
623	16941	10208
624	16966	10180
625	16998	10155
626	17042	10138
627	17065	10108
628	17092	10081
629	17115	10052
630	17141	10023
631	17164	9994
632	17189	9966
633	17298	9986
634	17389	9995
635	17459	9992
636	17494	9969
637	17528	9945
638	17560	9920
639	17592	9896
640	17626	9871
641	17655	9845
642	17684	9818
643	17717	9794
644	17746	9767
645	17779	9743
646	17808	9716
647	17833	9687
648	17858	9658
649	17888	9632
650	17912	9603
651	17939	9575
652	17967	9547
653	17994	9520
654	18023	9493
655	18065	9473
656	18115	9457
657	18150	9433
658	18182	9408
659	18222	9387
660	18260	9364
661	18291	9339
662	18338	9321
663	18364	9292
664	18388	9263
665	18413	9234
666	18434	9203
667	18457	9173
668	18483	9145
669	18507	9115
670	18532	9086
671	18554	9056
672	18576	9026
673	18600	8996
674	18622	8966
675	18645	8936
676	18671	8908
677	18696	8879
678	18716	8848
679	18736	8817
680	18758	8786
681	18782	8757
682	18806	8728
683	18829	8698
684	18855	8670
685	18879	8641
686	18902	8612
687	18924	8581
688	18947	8552
689	18973	8524
690	18998	8495
691	19025	8467
692	19055	8441
693	19078	8412
694	19101	8382
695	19125	8353
696	19147	8323
697	19173	8295
698	19194	8265
699	19222	8238
700	19248	8210
701	19286	8187
702	19313	8159
703	19343	8132
704	19381	8110
705	19406	8081
706	19428	8051
707	19451	8022
708	19478	7994
709	19502	7965
710	19529	7938
711	19557	7910
712	19587	7884
713	19617	7857
714	19641	7828
715	19668	7801
716	19696	7774
717	19739	7752
718	19783	7731
719	19856	7722
720	19901	7701
721	19942	7678
722	19989	7658
723	20033	7637
724	20058	7608
725	20083	7579
726	20106	7550
727	20135	7523
728	20157	7493
729	20183	7465
730	20204	7435
731	20232	7407
732	20261	7380
733	20290	7353
734	20320	7326
735	20347	7298
736	20378	7272
737	20405	7244
738	20443	7220
739	20487	7198
740	20517	7171
741	20544	7143
742	20573	7116
743	20602	7089
744	20632	7062
745	20653	7032
746	20682	7004
747	20704	6975
748	20724	6945
749	20747	6915
750	20768	6886
751	20790	6856
752	20814	6827
753	20840	6799
754	20863	6770
755	20884	6740
756	20907	6711
757	20929	6681
758	20952	6652
759	20974	6623
760	20996	6594
761	21016	6564
762	21039	6535
763	21062	6506
764	21086	6477
765	21109	6448
766	21128	6418
767	21148	6388
768	21168	6358
769	21187	6328
770	21212	6300
771	21232	6270
772	21256	6242
773	21278	6212
774	21302	6184
775	21320	6154
776	21340	6124
777	21360	6095
778	21387	6067
779	21412	6039
780	21433	6010
781	21459	5982
782	21485	5954
783	21506	5925
784	21527	5896
785	21547	5866
786	21567	5837
787	21590	5808
788	21611	5779
789	21632	5750
790	21655	5721
791	21679	5693
792	21702	5665
793	21725	5636
794	21745	5607
795	21767	5578
796	21789	5549
797	21811	5521
798	21841	5494
799	21868	5467
800	21896	5439
801	21923	5412
802	21947	5384
803	21972	5356
804	22004	5330
805	22035	5303
806	22074	5279
807	22102	5251
808	22136	5226
809	22165	5199
810	22188	5170
811	22209	5142
812	22230	5113
813	22252	5084
814	22274	5056
815	22298	5028
816	22323	5000
817	22344	4971
818	22367	4943
819	22392	4915
820	22418	4887
821	22447	4860
822	22470	4832
823	22497	4805
824	22525	4778
825	22559	4752
826	22587	4724
827	22616	4698
828	22642	4670
829	22662	4641
830	22686	4613
831	22711	4586
832	22735	4558
833	22760	4530
834	22783	4502
835	22809	4474
836	22833	4446
837	22855	4418
838	22875	4389
839	22897	4361
840	22921	4333
841	22946	4305
842	22969	4277
843	22993	4250
844	23015	4221
845	23035	4193
846	23056	4164
847	23077	4136
848	23100	4108
